Term,Section Name,Requisites,Description,Available Seats,Enrolled,Capacity,Waitlisted,Instructor Method,Modality 1 Schedule,Modality 1 Instructor,Modality 1 Times,Modality 1 Location,Modality 1 Days,Modality 2 Times,Modality 2 Days,Modality 2 Instructor,Modality 2 Location
Spring 2025,ASTRO-27-LS01,None,Field Astron At Pinnacles,12,18,30,0,"Required Times on Campus Lect, Required Times on Campus Lab",4/10/2025 - 4/10/2025,Richard A. Nolthenius,6:00 PM - 9:05 PM,None,Th,6:15 PM - 11:05 PM,F,None,None,None
Spring 2025,ASTRO-4-01,None,"Stars, Galaxies & the Universe",12,48,60,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Richard A. Nolthenius,9:30 AM - 10:50 AM,None,M/W,None,None,None,None,None
Spring 2025,ASTRO-5-01,None,Life in the Universe,49,11,60,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Richard A. Nolthenius,2:45 PM - 5:50 PM,None,T,None,None,None,None,None
Spring 2025,ASTRO-8A-01,None,Observational Astronomy,19,11,30,0,Required Times on Campus Lab,2/3/2025 - 5/31/2025,Richard A. Nolthenius,7:30 PM - 10:35 PM,None,T,None,None,None,None,None
Spring 2025,ATH-10-01,None,Athl. Conditioning,1,24,25,0,Open Entry on Campus Lab,2/3/2025 - 5/31/2025,Paolo G. Carbone, - ,None,,None,None,None,None,None
Spring 2025,ATH-11-01,None,Ftbl Conditioning,18,7,25,0,Open Entry on Campus Lab,2/3/2025 - 5/31/2025,Justin D. Hansen, - ,None,,None,None,None,None,None
Spring 2025,ATH-15I-EST01,None,Intercol Bsktbl/Men,8,12,20,0,Open Entry on Campus Lab,1/21/2025 - 3/15/2025,James M. Page, - ,None,,None,None,None,None,None
Spring 2025,ATH-15J-EST01,None,Intrcl Bsktbl/Women,13,7,20,0,Open Entry on Campus Lab,1/21/2025 - 3/15/2025,Anthony J. Marcopulos, - ,None,,None,None,None,None,None
Spring 2025,ATH-15K-EST01,None,Intercol Baseball,12,28,40,0,Open Entry on Campus Lab,1/6/2025 - 5/3/2025,Scott A. Masik, - ,None,,None,None,None,None,None
Spring 2025,ATH-15M-EST01,None,Intercol Softball,12,8,20,0,Open Entry on Campus Lab,1/6/2025 - 5/3/2025,Kristy J. Rosinger, - ,None,,None,None,None,None,None
Spring 2025,ATH-15N-EST01,None,Interc Swim/Div-Men,11,9,20,0,Open Entry on Campus Lab,1/21/2025 - 5/10/2025,Joshua P. Thomas, - ,None,,None,None,None,None,None
Spring 2025,ATH-15P-EST01,None,Interc Swim/Div-Wmn,11,9,20,0,Open Entry on Campus Lab,1/21/2025 - 5/10/2025,Joshua P. Thomas, - ,None,,None,None,None,None,None
Spring 2025,ATH-15Q-EST01,None,Intercol Tennis/Men,5,10,15,0,Open Entry on Campus Lab,1/13/2025 - 5/3/2025,David E. Van Ness, - ,None,,None,None,None,None,None
Spring 2025,ATH-15R-EST01,None,Intercol Tennis/Wm,5,10,15,0,Open Entry on Campus Lab,1/13/2025 - 5/3/2025,David E. Van Ness, - ,None,,None,None,None,None,None
Spring 2025,ATH-15S-EST01,None,Interc Sand Volleyball,8,12,20,0,Open Entry on Campus Lab,1/13/2025 - 5/10/2025,Branden J. Torado, - ,None,,None,None,None,None,None
Spring 2025,ATH-31-LS01,None,Basktbl Skills Dev,7,13,20,0,Open Entry on Campus Lab,4/7/2025 - 5/17/2025,James M. Page, - ,None,,None,None,None,None,None
Spring 2025,ATH-32-LS01,None,Football Skills Dev,51,4,55,0,Open Entry on Campus Lab,3/17/2025 - 5/17/2025,Justin D. Hansen, - ,None,,None,None,None,None,None
Spring 2025,ATH-33-01,None,Soccer Skills Devel,7,23,30,0,Open Entry on Campus Lab,2/3/2025 - 5/31/2025,Paolo G. Carbone, - ,None,,None,None,None,None,None
Spring 2025,ATH-36-01,None,Water Polo Skills,23,2,25,0,Open Entry on Campus Lab,2/3/2025 - 5/31/2025,Jasper T. Billings, - ,None,,None,None,None,None,None
Spring 2025,BIO-101-01,None,Intro to Microscopy,152,98,250,0,"No Required Times Online Lect, No Required Times Online Lab",2/21/2025 - 3/1/2025,Marina L. Ramon, - ,None,, - ,,None,None,None
Spring 2025,BIO-11A-01,None,General Biology,0,28,28,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Penny A. Carroll,8:00 AM - 9:20 AM,None,M/W,9:30 AM - 12:35 PM,M,Kaila A. Pearson,None,Kaila A. Pearson
